observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
717682,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Not Lepidoptera,,,,,,,,,0.17236328125,0.5995370370370371,0.032470703125,0.0189814814814814,,,,,,
717683,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Not Lepidoptera,,,,,,,,,0.217529296875,0.2768518518518518,0.010986328125,0.0638888888888888,,,,,,
717684,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Not Lepidoptera,,,,,,,,,0.196533203125,0.0009259259259259,0.0322265625,0.0217592592592592,,,,,,
717685,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Not Lepidoptera,,,,,,,,,0.06884765625,0.0,0.01123046875,0.0453703703703703,,,,,,
717686,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Not Lepidoptera,,,,,,,,,0.10791015625,0.8462962962962963,0.17822265625,0.1537037037037037,,,,,,
717687,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Not Lepidoptera,,,,,,,,,0.50341796875,0.0129629629629629,0.031005859375,0.0949074074074074,,,,,,
717688,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.4150390625,0.1175925925925926,0.01708984375,0.0578703703703703,,,,,,
717689,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.11474609375,0.3578703703703704,0.02392578125,0.0606481481481481,,,,,,
717690,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Plusia putnami,,,,,,,,,0.15087890625,0.6365740740740741,0.04443359375,0.1254629629629629,,,,,,
717691,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura fumiferana,,,,,,,,,0.859130859375,0.1759259259259259,0.024169921875,0.0625,,,,,,
717692,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura fumiferana,,,,,,,,,0.31689453125,0.4837962962962963,0.028076171875,0.0708333333333333,,,,,,
717693,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura parallela,,,,,,,,,0.8212890625,0.6717592592592593,0.02294921875,0.0537037037037037,,,,,,
717694,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.402587890625,0.2055555555555555,0.01708984375,0.0606481481481481,,,,,,
717695,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Platynota exasperatana,,,,,,,,,0.1015625,0.0083333333333333,0.022705078125,0.0601851851851851,,,,,,
717696,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.80224609375,0.349537037037037,0.021240234375,0.0611111111111111,,,,,,
717697,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura fumiferana,,,,,,,,,0.353271484375,0.6949074074074074,0.02099609375,0.0666666666666666,,,,,,
717698,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.674560546875,0.4476851851851852,0.01904296875,0.0597222222222222,,,,,,
717699,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.241455078125,0.436574074074074,0.02099609375,0.0592592592592592,,,,,,
717700,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.66357421875,0.3601851851851851,0.01806640625,0.0592592592592592,,,,,,
717701,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Archips argyrospila,,,,,,,,,0.0439453125,0.3574074074074074,0.0224609375,0.0657407407407407,,,,,,
717702,398,37025263,9166,2024-07-09T02:46:49+00:00,2024-07-09T02:46:49+00:00,media,animal,,Choristoneura rosaceana,,,,,,,,,0.7001953125,0.3513888888888888,0.018310546875,0.0550925925925925,,,,,,
