deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
2021-07-20_Trifolium-sp-01-EC,LEI_A-701-1,Leipzig Botanical Garden,51.381921,12.272399,,2021-07-20T11:21:07+00:00,2021-07-20T11:46:56+00:00,,,smartphone,,,,,,,False,False,,urban botanical garden meadow; target plant in flower,,plant_folder:Trifolium-sp-01-EC|targetPlantGenus:trifolium|targetPlantEpithet:pratense|targetPlantScientificName:Trifolium pratense,
2021-07-23_Daucus-carota-02-EC,LEI_A-701-1,Leipzig Botanical Garden,51.381921,12.272399,,2021-07-23T12:00:38+00:00,2021-07-23T12:25:08+00:00,,,smartphone,,,,,,,False,False,,urban botanical garden meadow; target plant in flower,,plant_folder:Daucus-carota-02-EC|targetPlantGenus:daucus|targetPlantEpithet:carota|targetPlantScientificName:Daucus carota,
2021-07-27_Trifolium-sp-01-EC,LEI_A-701-1,Leipzig Botanical Garden,51.381921,12.272399,,2021-07-27T12:09:28+00:00,2021-07-27T12:49:40+00:00,,,smartphone,,,,,,,False,False,,urban botanical garden meadow; target plant in flower,,plant_folder:Trifolium-sp-01-EC|targetPlantGenus:trifolium|targetPlantEpithet:pratense|targetPlantScientificName:Trifolium pratense,
2021-08-11_Achillea-millefolium-bs-01,LEI_A-701-1,Leipzig Botanical Garden,51.381921,12.272399,,2021-08-11T11:25:25+00:00,2021-08-11T11:42:52+00:00,,,smartphone,,,,,,,False,False,,urban botanical garden meadow; target plant in flower,,plant_folder:Achillea-millefolium-bs-01|targetPlantGenus:achillea|targetPlantEpithet:millefolium|targetPlantScientificName:Achillea millefolium,
2021-08-14_Achillea-millefolium-bs-01,LEI_A-701-1,Leipzig Botanical Garden,51.381921,12.272399,,2021-08-14T14:37:40+00:00,2021-08-14T15:04:49+00:00,,,smartphone,,,,,,,False,False,,urban botanical garden meadow; target plant in flower,,plant_folder:Achillea-millefolium-bs-01|targetPlantGenus:achillea|targetPlantEpithet:millefolium|targetPlantScientificName:Achillea millefolium,
